S+,Metagross,Latias,,,,,,,,,,,,,,,,,
S,Latios,Zapdos,,,,,,,,,,,,,,,,,
S-,Snorlax,,,,,,,,,,,,,,,,,,
A+,Tauros,Starmie,Swampert,Gengar,,,,,,,,,,,,,,,
A,Arcanine,Marowak,Raikou,,,,,,,,,,,,,,,,
A-,Tyranitar,Gyarados,Ludicolo,,,,,,,,,,,,,,,,
B+,Medicham,Suicune,Moltres,Regice,Heracross,Clefable,Kingdra,Alakazam,,,,,,,,,,,
B,Regirock,Kangaskhan,Dusclops,Wobbuffet,Registeel,Hariyama,Articuno,Charizard,Jolteon,Houndoom,Aerodactyl,Pinsir,Togetic,Rhydon,Crobat,Politoed,Sceptile,Exeggutor,Salamence
B-,Shiftry,Claydol,Milotic,Electrode,Slaking,,,,,,,,,,,,,,
C+,Jynx,,,,,,,,,,,,,,,,,,
C,Scizor,Breloom,Miltank,Mr. Mime,Steelix,Quagsire,Ninjask,Machamp,Shedinja,Persian,Armaldo,Blaziken,,,,,,,
C-,Poliwrath,Dewgong,Flygon,Venusaur,Dugtrio,Jumpluff,Swellow,,,,,,,,,,,,
