S+,Metagross,,,,,,,,,,,,
S,Snorlax,Latios,Latias,Gengar,,,,,,,,,
S-,Zapdos,,,,,,,,,,,,
A+,Tauros,Arcanine,Starmie,,,,,,,,,,
A,Ludicolo,Hariyama,Suicune,Swampert,Marowak,,,,,,,,
A-,Gyarados,Raikou,Alakazam,,,,,,,,,,
B+,Dusclops,Clefable,Moltres,Regice,Rhydon,Crobat,Regirock,Kingdra,,,,,
B,Tyranitar,Shiftry,Salamence,Heracross,Togetic,Pinsir,Medicham,Exeggutor,Kangaskhan,Houndoom,Aerodactyl,Slaking,
B-,Blaziken,Milotic,Jumpluff,Jynx,,,,,,,,,
C,Registeel,Armaldo,Dewgong,Mr. Mime,Electrode,Breloom,Claydol,Persian,Flygon,Omastar,Politoed,Ninjask,Shedinja
